"field" "block_n" "trt_id" "entropy" "lower_ci" "upper_ci" "sigma" "mean_post" "posterior_prob"
"184" 3 4 4 1.86016309181891 -2.5504391425 2.81580747499999 1.55460976416274 -0.938722425514 0.953333333333333
"185" 3 4 5 1.7723391468962 -3.63446499 0.87948677325 1.42390146360864 -1.03407697992867 0.956666666666667
"186" 3 4 6 1.7666454543379 -2.636928975 2.24793664749999 1.41581724281503 -1.10329445216733 0.93
"187" 3 4 7 1.91976134688292 -4.7986176325 1.515151435 1.65007841937695 -1.534054000141 0.863333333333333
"188" 3 4 8 1.78684947208477 -1.1579261675 3.8450875425 1.44471336545379 0.769800652465 1
"189" 3 4 9 2.12033088925671 -2.4027152525 4.2243652975 2.01655852113256 1.38277844382667 0.993333333333333
"190" 3 4 10 1.76445450503912 -1.41131998 3.91185874499999 1.41271865468393 0.951820001824667 0.993333333333333
"191" 3 4 11 1.46257723657015 -1.43026838 2.684246295 1.04460487447579 0.990946658985667 1
"192" 3 4 12 1.86797370093027 -1.2899393405 4.35660097 1.56679975701449 1.36057350808667 1
"193" 3 4 13 1.78628127052672 0.756817454 5.9661964875 1.44389271023947 2.63258856496667 1
"194" 3 4 14 2.32624672489613 -0.42098741675 7.448071925 2.47764420576974 3.795396275511 1
"195" 3 4 15 1.64122258103354 2.47315731 7.775182765 1.24892608222747 4.217001204 1
"196" 3 6 1 1.4545582326101 -3.9590853475 -0.15315962175 1.03626168061164 -2.22354396111667 NA
"197" 3 6 2 1.42992588161252 -4.61122118 -0.43122148 1.01104793099773 -2.99960697830333 0.163333333333333
"198" 3 6 3 1.54887478119775 -3.4742826975 0.69181110625 1.13875578304388 -1.13833000135167 0.826666666666667
"199" 3 6 4 1.56188257325049 -5.0467321925 -0.207261234250002 1.15366524080559 -2.71974996352 0.41
"200" 3 6 5 1.69258756049409 -2.8439876625 2.425913945 1.3147532787304 -1.13219058995 0.833333333333333
"201" 3 6 6 1.70832218321415 -3.4030847175 1.45311394 1.33560403474967 -1.30514862614333 0.796666666666667
"202" 3 6 7 1.92275492280684 -4.1286805775 1.05960965525 1.6550254553753 -1.54582218918333 0.53
"203" 3 6 8 1.63412305161894 -2.9337349375 0.90060012375 1.24009069542531 -0.68945232736 0.776666666666667
"204" 3 6 9 1.65956858666797 -3.212812435 1.3955284575 1.27205035762649 -0.0497594155449333 0.916666666666667
"205" 3 6 10 1.9042948980658 -0.4659067145 4.356054235 1.62475391088975 1.67437979518713 0.996666666666667
"206" 3 6 11 2.09739378399648 0.1484673155 5.9001053525 1.9708309400373 2.55342280163333 1
"207" 3 6 12 1.82572752719429 -1.76138479 3.51031131 1.50198714390783 1.02458250133333 0.98
"208" 3 6 13 1.8192211617883 1.284057045 6.8686772375 1.49224638953087 4.29245070676667 1
"209" 3 6 14 2.25512909075593 0.38681953425 7.2308593875 2.30755969615804 3.29556934316667 1
"210" 3 6 15 1.65723869071886 2.36463644 6.8685424975 1.26909006258005 5.21610331266667 1
"211" 3 10 1 1.91935995564709 -5.66048558 0.677058652999999 1.64941622526933 -3.15281850698667 NA
"212" 3 10 2 2.00911874503987 -3.6536239525 2.9463915825 1.80431354475607 -1.11680089944933 0.82
"213" 3 10 3 1.98616753538763 -4.8678496225 1.4565811875 1.76337396978448 -2.05464361269 0.766666666666667
"214" 3 10 4 1.81367070000803 -3.6188692425 2.0472091325 1.48398667679413 -1.4549472792903 0.846666666666667
"215" 3 10 5 2.02857842459725 -5.42811902 1.236044395 1.83976876291116 -1.78772602749333 0.656666666666667
"216" 3 10 6 2.22218832763693 -3.963409835 3.445459245 2.2327852439029 0.696255399543333 0.843333333333333
"217" 3 10 7 1.99060466983045 -3.6706421775 2.425832865 1.77121568166057 -1.59417868410033 0.81
"218" 3 10 8 1.5731948264474 -3.566900125 1.5164410175 1.16678988882489 -0.865994038157667 0.863333333333333
"219" 3 10 9 1.8479774959351 -1.1982972175 4.9117438275 1.53578087144772 1.37240674727333 0.96
"220" 3 10 10 1.64472029109234 -0.8712894955 3.9483629975 1.25330211212852 1.61283773353667 0.973333333333333
"221" 3 10 11 2.15245137541578 -1.1602104825 5.7191389025 2.0823828567394 1.68918272734333 0.936666666666667
"222" 3 10 12 2.05914206710404 -0.2716834595 6.35422718 1.89686691673791 2.36082345956267 1
"223" 3 10 13 2.19258294543559 -0.3386578585 7.6500628425 2.1676516925031 3.80718173165667 0.963333333333333
"224" 3 10 14 1.74011167965123 0.53294253475 5.80937006249999 1.37874428490142 2.59999123743333 1
"225" 3 10 15 1.86321353211788 0.175661839 6.0292864825 1.55935924876322 3.18971187942133 1
"226" 3 12 1 1.6712230684064 -5.928621355 -1.00794248225 1.28696217123438 -3.60698438393333 NA
